t,breath,hr,eda
155.10,0.2247,62.96,4.4592
155.20,0.2584,64.90,4.4526
155.30,0.2686,63.39,4.4614
155.40,0.3264,65.25,4.4683
155.50,0.3448,65.85,4.4614
155.60,0.3755,65.40,4.4630
155.70,0.4074,65.22,4.4607
155.80,0.4111,64.77,4.4738
155.90,0.4363,67.36,4.4506
156.00,0.5086,66.55,4.4504
156.10,0.5257,66.48,4.4384
156.20,0.5614,66.21,4.4625
156.30,0.5626,67.63,4.4396
156.40,0.6219,67.84,4.4523
156.50,0.6473,68.38,4.4392
156.60,0.6865,69.26,4.4538
156.70,0.6965,67.47,4.4295
156.80,0.7656,69.30,4.4399
156.90,0.7674,71.56,4.4521
157.00,0.7879,69.19,4.4440
157.10,0.8224,69.20,4.4486
157.20,0.8592,70.45,4.4526
157.30,0.8647,69.23,4.4407
157.40,0.8950,70.25,4.4339
157.50,0.9186,70.45,4.4334
157.60,0.9347,70.52,4.4548
157.70,0.9537,71.45,4.4338
157.80,0.9606,72.04,4.4291
157.90,0.9888,71.65,4.4378
158.00,0.9636,71.61,4.4508
158.10,0.9708,70.63,4.4418
158.20,0.9844,72.68,4.4179
158.30,1.0236,71.31,4.4290
158.40,0.9926,72.17,4.4288
158.50,1.0174,72.09,4.4245
158.60,0.9765,71.70,4.4440
158.70,0.9860,71.64,4.4433
158.80,1.0050,72.81,4.4389
158.90,0.9712,71.81,4.4300
159.00,0.9686,70.94,4.4410
159.10,0.9712,69.94,4.4390
159.20,0.9339,70.77,4.4201
159.30,0.9347,71.03,4.4253
159.40,0.9072,71.12,4.4253
159.50,0.9026,70.49,4.4190
159.60,0.8639,69.33,4.4231
159.70,0.8623,70.00,4.4293
159.80,0.8190,69.35,4.4196
159.90,0.7837,71.84,4.4357
160.00,0.7612,69.65,4.4126
160.10,0.7558,67.60,4.4087
160.20,0.7266,69.62,4.4047
160.30,0.6848,68.30,4.4207
160.40,0.6539,67.76,4.4183
160.50,0.6447,67.60,4.4181
160.60,0.5920,66.76,4.4132
160.70,0.5667,67.71,4.4323
160.80,0.5374,67.28,4.4304
160.90,0.5048,65.45,4.4152
161.00,0.4731,64.75,4.4134
161.10,0.4226,65.65,4.4308
161.20,0.4121,64.83,4.4164
161.30,0.3802,64.59,4.4229
161.40,0.3499,64.12,4.4219
161.50,0.3155,64.55,4.4073
161.60,0.2795,63.26,4.4218
161.70,0.2756,62.89,4.4096
161.80,0.2168,62.58,4.4169
161.90,0.2228,63.25,4.4214
162.00,0.1589,62.10,4.4104
162.10,0.1303,63.88,4.4135
162.20,0.1232,62.99,4.4161
162.30,0.0972,62.05,4.4064
162.40,0.0951,61.80,4.3995
162.50,0.0706,60.33,4.4158
162.60,0.0493,61.05,4.4037
162.70,0.0508,63.04,4.4023
162.80,0.0216,61.70,4.4136
162.90,0.0316,60.29,4.4048
163.00,0.0089,60.87,4.4113
163.10,0.0130,60.10,4.4101
163.20,-0.0092,60.33,4.4166
163.30,-0.0188,60.06,4.4195
163.40,-0.0108,59.86,4.4120
163.50,-0.0078,60.10,4.4122
163.60,0.0372,62.60,4.4042
163.70,0.0151,60.34,4.4035
163.80,0.0193,60.86,4.3986
163.90,0.0418,60.35,4.3921
164.00,0.0198,61.08,4.4139
164.10,0.0591,61.99,4.4010
164.20,0.0793,61.35,4.4079
164.30,0.0920,60.36,4.4003
164.40,0.1262,61.18,4.3878
164.50,0.1425,62.68,4.4005
164.60,0.1778,63.32,4.4146
164.70,0.1789,62.01,4.4157
164.80,0.2062,62.75,4.4070
164.90,0.2326,64.15,4.3958
165.00,0.2324,64.25,4.4085
165.10,0.2901,63.14,4.4025
165.20,0.3342,63.50,4.4222
165.30,0.3682,64.25,4.3969
165.40,0.3768,63.95,4.3955
165.50,0.3981,65.16,4.4100
165.60,0.4531,65.86,4.3989
165.70,0.4605,66.32,4.3885
165.80,0.5232,65.83,4.3867
165.90,0.5308,66.83,4.4008
166.00,0.5762,67.18,4.3901
166.10,0.6081,67.52,4.3890
166.20,0.6311,68.70,4.5925
166.30,0.6707,67.98,4.5898
166.40,0.6801,69.18,4.5839
166.50,0.7438,69.37,4.5855
166.60,0.7618,69.87,4.5943
166.70,0.7997,69.32,4.5918
166.80,0.8157,70.00,4.5645
166.90,0.8360,70.18,4.5856
167.00,0.8690,70.05,4.5892
167.10,0.8743,71.22,4.5784
167.20,0.9028,70.26,4.5807
167.30,0.9289,72.06,4.5811
167.40,0.9415,71.74,4.5676
167.50,0.9504,71.20,4.5547
167.60,0.9638,71.10,4.5611
167.70,0.9726,71.92,4.5601
167.80,0.9838,72.66,4.5623
167.90,0.9931,71.18,4.5621
168.00,0.9610,72.55,4.5535
168.10,0.9952,71.24,4.5497
168.20,1.0107,72.28,4.5485
168.30,1.0122,73.65,4.5550
168.40,0.9935,72.52,4.5563
168.50,0.9817,71.58,4.5471
168.60,0.9696,71.34,4.5472
168.70,0.9924,71.39,4.5370
168.80,0.9617,71.67,4.5369
168.90,0.9397,69.79,4.5278
169.00,0.9160,71.61,4.5495
169.10,0.9160,71.00,4.5318
169.20,0.8986,70.33,4.5226
169.30,0.8636,69.91,4.5420
169.40,0.8660,72.31,4.5264
169.50,0.8272,71.08,4.5286
169.60,0.8134,69.10,4.5342
169.70,0.7900,69.48,4.5384
169.80,0.7429,69.95,4.5146
169.90,0.7235,68.06,4.5217
170.00,0.7097,68.57,4.5270
170.10,0.6775,68.87,4.5107
170.20,0.6167,67.71,4.5280
170.30,0.6116,67.83,4.5118
170.40,0.5785,67.26,4.5064
170.50,0.5224,66.40,4.5189
170.60,0.4954,67.28,4.5089
170.70,0.4549,65.87,4.5088
170.80,0.4284,65.63,4.5012
170.90,0.4052,65.54,4.4937
171.00,0.3569,66.62,4.5047
171.10,0.3284,64.50,4.5026
171.20,0.3213,63.09,4.4979
171.30,0.2605,64.18,4.5017
171.40,0.2638,64.15,4.4946
171.50,0.2106,63.33,4.5079
171.60,0.1887,64.30,4.4976
171.70,0.1614,62.09,4.4849
171.80,0.1338,62.78,4.4931
171.90,0.1234,63.11,4.4938
172.00,0.1011,60.45,4.4809
172.10,0.0884,61.66,4.4842
172.20,0.0731,60.54,4.4921
172.30,0.0412,61.36,4.4877
172.40,0.0528,59.86,4.4819
172.50,0.0415,60.50,4.4716
172.60,0.0225,62.81,4.4750
172.70,0.0131,60.67,4.4865
172.80,0.0313,60.41,4.4854
172.90,0.0163,60.46,4.4664
173.00,0.0035,60.18,4.4799
173.10,0.0198,60.21,4.4894
173.20,0.0083,60.59,4.4714
173.30,0.0207,60.87,4.4764
173.40,0.0173,61.87,4.4649
173.50,0.0163,60.79,4.4837
173.60,0.0311,61.37,4.4840
173.70,0.0421,61.80,4.4668
173.80,0.0873,61.26,4.4749
173.90,0.0684,61.64,4.4636
174.00,0.1036,62.82,4.4627
174.10,0.1096,62.49,4.4613
174.20,0.1489,63.06,4.4628
174.30,0.1499,64.17,4.4781
174.40,0.2152,64.29,4.4650
174.50,0.2187,63.06,4.4737
174.60,0.2480,62.28,4.4663
174.70,0.2717,61.77,4.4749
174.80,0.3084,64.36,4.4676
174.90,0.3366,64.70,4.4704
175.00,0.3426,64.60,4.4509
175.10,0.3988,65.08,4.4540
175.20,0.4492,66.31,4.4332
175.30,0.4729,65.86,4.4606
175.40,0.4950,66.38,4.4578
175.50,0.5182,65.99,4.4603
175.60,0.5589,66.11,4.4504
175.70,0.5989,66.46,4.4518
175.80,0.6226,68.62,4.4406
175.90,0.6610,67.56,4.4666
176.00,0.6940,67.70,4.4422
176.10,0.7144,69.27,4.4525
176.20,0.7412,69.61,4.4572
176.30,0.7619,68.60,4.4462
176.40,0.8196,70.15,4.4425
176.50,0.8356,69.47,4.4441
176.60,0.8529,69.19,4.4392
176.70,0.8599,70.46,4.4474
176.80,0.9135,70.90,4.4294
176.90,0.8981,71.25,4.4524
177.00,0.9310,70.69,4.4543
177.10,0.9389,70.67,4.4334
177.20,0.9605,72.17,4.4465
177.30,0.9679,71.17,4.4346
177.40,0.9759,71.23,4.4361
177.50,0.9785,71.24,4.4387
177.60,0.9927,71.76,4.4274
177.70,1.0052,71.31,4.4430
177.80,0.9864,70.89,4.4268
177.90,0.9917,70.47,4.4341
178.00,1.0046,71.19,4.4237
178.10,0.9832,72.89,4.4419
178.20,0.9807,71.26,4.4325
178.30,0.9735,73.15,4.4328
178.40,0.9519,70.76,4.4326
178.50,0.9561,71.56,4.4288
178.60,0.9241,71.14,4.4491
178.70,0.8991,70.48,4.4373
178.80,0.8878,70.24,4.4347
178.90,0.8900,71.00,4.4263
179.00,0.8611,70.24,4.4330
179.10,0.8315,70.19,4.4267
179.20,0.8194,71.15,4.4258
179.30,0.8048,70.06,4.4195
179.40,0.7564,68.46,4.4298
179.50,0.7483,68.63,4.4210
179.60,0.6906,69.23,4.4423
179.70,0.6532,68.28,4.4229
179.80,0.6326,66.94,4.4232
179.90,0.6090,67.91,4.4169
